Value	Feature	test_study	data_type	random_state
4	0750001001	VogtmannE_2016	subspecies	424
0	0751001001	VogtmannE_2016	subspecies	424
11	0751001002	VogtmannE_2016	subspecies	424
0	0751001004	VogtmannE_2016	subspecies	424
0	0754001002	VogtmannE_2016	subspecies	424
0	0755001001	VogtmannE_2016	subspecies	424
0	0756001001	VogtmannE_2016	subspecies	424
7	0776001004	VogtmannE_2016	subspecies	424
3	0777001002	VogtmannE_2016	subspecies	424
9	0785001001	VogtmannE_2016	subspecies	424
12	0785001003	VogtmannE_2016	subspecies	424
0	0788001001	VogtmannE_2016	subspecies	424
0	0793001001	VogtmannE_2016	subspecies	424
1	0805001001	VogtmannE_2016	subspecies	424
1	0826001003	VogtmannE_2016	subspecies	424
5	0829001001	VogtmannE_2016	subspecies	424
0	0829001002	VogtmannE_2016	subspecies	424
0	0838001001	VogtmannE_2016	subspecies	424
0	0838001002	VogtmannE_2016	subspecies	424
0	0846001001	VogtmannE_2016	subspecies	424
3	0846001002	VogtmannE_2016	subspecies	424
0	0847001001	VogtmannE_2016	subspecies	424
8	0859001001	VogtmannE_2016	subspecies	424
10	0861001001	VogtmannE_2016	subspecies	424
8	0862001001	VogtmannE_2016	subspecies	424
0	0875001001	VogtmannE_2016	subspecies	424
0	0885001001	VogtmannE_2016	subspecies	424
0	0885001002	VogtmannE_2016	subspecies	424
0	0885001004	VogtmannE_2016	subspecies	424
1	0887001001	VogtmannE_2016	subspecies	424
9	0896001002	VogtmannE_2016	subspecies	424
1	0907001001	VogtmannE_2016	subspecies	424
0	0909001001	VogtmannE_2016	subspecies	424
28	0918001001	VogtmannE_2016	subspecies	424
3	0918001002	VogtmannE_2016	subspecies	424
0	0921001001	VogtmannE_2016	subspecies	424
1	0925001001	VogtmannE_2016	subspecies	424
0	0934001001	VogtmannE_2016	subspecies	424
21	0945001001	VogtmannE_2016	subspecies	424
0	0953001001	VogtmannE_2016	subspecies	424
3	0961001002	VogtmannE_2016	subspecies	424
2	0977001002	VogtmannE_2016	subspecies	424
2	0991001001	VogtmannE_2016	subspecies	424
1	0991001002	VogtmannE_2016	subspecies	424
3	0998001001	VogtmannE_2016	subspecies	424
0	1010001002	VogtmannE_2016	subspecies	424
2	1012001001	VogtmannE_2016	subspecies	424
17	1014001001	VogtmannE_2016	subspecies	424
1	1014001002	VogtmannE_2016	subspecies	424
0	1014001003	VogtmannE_2016	subspecies	424
0	1020001002	VogtmannE_2016	subspecies	424
